t,dy_left,dy_down,dy_up,dy_right,action
6.498,40,285,9999.0,375,0
6.533,35,280,9999.0,370,0
6.566,30,275,9999.0,365,0
6.589,25,270,9999.0,360,0
6.623,20,265,9999.0,355,0
6.649,15,260,9999.0,350,0
6.689,55,255,9999.0,345,1
6.706,50,250,9999.0,340,0
6.739,45,245,9999.0,335,0
6.771,40,240,9999.0,330,0
6.794,35,235,9999.0,325,0
6.827,30,230,9999.0,320,0
6.845,25,225,665,315,0
6.878,20,220,660,310,0
6.908,15,215,655,305,0
6.927,10,210,650,300,0
6.96,5,205,645,295,0
6.99,0,200,640,290,0
7.008,-5,195,635,285,0
7.04,-10,190,630,280,0
7.061,-15,185,625,275,0
7.091,80,180,620,270,1
7.123,75,175,615,265,0
7.144,70,170,610,260,0
7.175,65,165,605,255,0
7.207,60,160,600,250,0
7.227,55,155,595,245,0
7.259,50,150,590,240,0
7.279,45,145,585,235,0
7.309,40,140,580,230,0
7.342,35,135,575,225,0
7.361,30,130,570,220,0
7.392,25,125,565,215,0
7.423,20,120,560,210,0
7.443,15,115,555,205,0
7.473,10,110,550,200,0
7.494,5,105,545,195,0
7.526,0,100,540,190,0
7.556,-5,95,535,185,0
7.576,355,90,530,180,1
7.608,350,85,525,175,0
7.638,345,80,520,170,0
7.659,340,75,515,165,0
7.691,335,70,510,160,0
7.716,330,65,505,155,0
7.748,325,60,500,150,0
7.779,320,55,495,145,0
7.799,315,50,490,140,0
7.832,310,45,485,135,0
7.856,305,40,480,130,0
7.888,300,35,475,125,0
7.92,295,30,470,120,0
7.938,290,25,465,115,0
7.97,285,20,460,110,0
8.0,280,15,455,105,0
8.019,275,10,450,100,0
8.052,270,5,445,95,0
8.073,265,170,440,90,4
8.104,260,165,435,85,0
8.134,255,160,430,80,0
8.156,250,155,425,75,0
8.189,245,150,420,70,0
8.209,240,145,415,65,0
8.239,235,140,410,60,0
8.271,230,135,405,55,0
8.291,225,130,400,50,0
8.321,220,125,395,45,0
8.354,215,120,390,40,0
8.374,210,115,385,35,0
8.404,205,110,380,30,0
8.434,200,105,375,25,0
8.457,195,100,370,20,0
8.488,190,95,365,15,0
8.507,185,90,360,10,0
8.539,180,85,355,5,0
8.571,175,80,350,0,0
8.589,170,75,345,9999.0,2
8.62,165,70,340,9999.0,0
8.653,160,65,335,9999.0,0
8.676,155,60,330,9999.0,0
8.71,150,55,325,9999.0,0
8.732,145,50,320,9999.0,0
8.767,140,45,315,9999.0,0
8.791,135,40,310,9999.0,0
8.823,130,35,305,9999.0,0
8.853,125,30,300,9999.0,0
8.874,120,25,295,9999.0,0
8.905,115,20,290,9999.0,0
8.936,110,15,285,9999.0,0
8.955,105,10,280,9999.0,0
8.987,100,5,275,9999.0,0
9.015,95,0,270,9999.0,0
9.037,90,-5,265,9999.0,0
9.068,85,-10,260,9999.0,0
9.088,80,165,255,9999.0,4
9.119,75,160,250,9999.0,0
9.224,70,155,245,9999.0,0
9.263,65,150,240,9999.0,0
9.296,60,145,235,9999.0,0
9.317,55,140,230,9999.0,0
9.349,50,135,225,9999.0,0
9.37,45,130,220,9999.0,0
9.401,40,125,215,9999.0,0
9.434,35,120,210,9999.0,0
9.455,30,115,205,9999.0,0
9.487,25,110,200,9999.0,0
